Venue Name,Location,Capacity,Type,Available Equipments,Availability,Budget,Event Type
Emerald Grand Banquet,Ranchi,200-1000,Indoor,"Mic, Sound System, Lighting",10 AM - 9 PM,22000,"Birthday, Reception"
Lotus Valley Resorts,Coimbatore,500-2500,Outdoor,"Garden, Catering, Seating",6 PM - 12 AM,49000,"Wedding, Exhibition"
Crescent Conference Center,Thiruvananthapuram,100-800,Indoor,"Projector, Sound System, WiFi",9 AM - 9 PM,28000,"Conference, Seminar"
Majestic Banquet Hall,Patna,50-500,Indoor,"AC, Seating, Parking",10 AM - 8 PM,18000,"Reception, Engagement"
Rosewood Party Palace,Visakhapatnam,300-1200,Indoor,"Sound System, Lighting, Décor",10 AM - 10 PM,32000,"Wedding, Birthday"
Sapphire Garden Resort,Dehradun,700-2500,Outdoor,"Stage, Catering, Valet Parking",6 PM - 12 AM,43000,"Wedding, Festival"
Crystal Club and Banquet,Guwahati,150-700,Indoor,"Mic, Projector, Sound System",9 AM - 10 PM,24000,"Conference, Meeting"
Royal Palace Banquet,Delhi,200-800,Indoor,"Mic, Décor, A/C",10 AM - 9 PM,20000,"Wedding, Birthday"
Silver Sands Banquet,Mumbai,100-500,Indoor,"Projector, WiFi, Seating",9 AM - 8 PM,26000,"Corporate Event, Conference"
Golden Gates Banquet,Bangalore,500-2000,Indoor,"Stage, Sound System, Parking",10 AM - 10 PM,42000,"Wedding, Concert"
Emerald Valley Resort,Jaipur,300-1200,Outdoor,"Garden, Catering",6 PM - 12 AM,37000,"Wedding, Exhibition"
Pearl Palace Party Hall,Kolkata,2000,Indoor,"Mic, Décor, Musical Instruments",10 AM - 9 PM,28000,"Wedding, Corporate Event"
Royal Sapphire Hall,Chennai,500-1500,Indoor,"Projector, Stage, Sound System",9 AM - 11 PM,32000,"Corporate Event, Conference"
Diamond Grand Banquet,Hyderabad,200-700,Indoor,"AC, Sound System, Lighting",11 AM - 10 PM,19000,"Reception, Engagement"
Sunrise Gardens,Pune,800-2500,Outdoor,"Seating, Valet Parking, Catering",6 PM - 12 AM,47000,"Wedding, Festival"
Ocean Breeze Convention Center,Goa,100-1000,Indoor,"Mic, Sound System, Lighting",9 AM - 9 PM,33000,"Conference, Concert"
Royal Emerald Lawns,Ahmedabad,500-2000,Outdoor,"Catering, Lighting, Seating",7 PM - 12 AM,39000,"Wedding, Birthday"
Blue Diamond Banquet,Lucknow,150-600,Indoor,"Projector, Sound System, AC",10 AM - 8 PM,28000,"Corporate Event, Exhibition"
Grand Sapphire Party Hall,Indore,300-1200,Indoor,"Stage, Sound System, Lighting",11 AM - 10 PM,30000,"Wedding, Concert"
Elite Diamond Hall,Bhopal,50-300,Indoor,"WiFi, Seating, Décor",9 AM - 7 PM,15000,"Birthday, Reception"
Green Meadows Farmhouse,Chandigarh,500-1500,Outdoor,"Catering, Lighting, Parking",6 PM - 12 AM,42000,"Wedding, Corporate Event"
Galaxy Sapphire Lounge,Jaipur,200-800,Indoor,"Mic, Projector, Sound System",9 AM - 11 PM,24000,"Conference, Seminar"
Serene Breeze Resort,Kochi,800-2500,Outdoor,"Seating, Catering, AC",7 PM - 1 AM,49000,"Wedding, Reception"
Royal Diamond Banquet,Nagpur,100-700,Indoor,"Lighting, Stage, Parking",10 AM - 9 PM,22000,"Corporate Event, Birthday"
Golden Hall,Vadodara,50-250,Indoor,"Projector, WiFi, Seating",9 AM - 7 PM,17000,"Seminar, Conference"
Pearl Grand Banquet,Surat,300-1000,Indoor,"Sound System, AC, Décor",10 AM - 10 PM,32000,"Reception, Wedding"
Regal Diamond Center,Noida,500-2000,Indoor,"Mic, Projector, Sound System, WiFi",9 AM - 10 PM,37000,"Conference, Seminar"
Paradise Diamond Banquets,Faridabad,200-800,Indoor,"Seating, Catering, Parking",10 AM - 11 PM,28000,"Wedding, Reception"
Sunset Diamond Resort,Udaipur,1000-3000,Outdoor,"Garden, Stage, Valet Parking",6 PM - 1 AM,56000,"Festival, Wedding"
Moonlight Diamond Hall,Mysore,150-700,Indoor,"Projector, WiFi, AC",9 AM - 8 PM,26000,"Corporate Event, Meeting"
Emerald Diamond Banquet,Ranchi,200-1000,Indoor,"Mic, Sound System, Lighting",10 AM - 9 PM,23000,"Birthday, Reception"
Lotus Diamond Resorts,Coimbatore,500-2500,Outdoor,"Garden, Catering, Seating",6 PM - 12 AM,50000,"Wedding, Exhibition"
Crescent Diamond Center,Thiruvananthapuram,100-800,Indoor,"Projector, Sound System, WiFi",9 AM - 9 PM,29000,"Conference, Seminar"
Majestic Diamond Hall,Patna,50-500,Indoor,"AC, Seating, Parking",10 AM - 8 PM,19000,"Reception, Engagement"
Rosewood Diamond Palace,Visakhapatnam,300-1200,Indoor,"Sound System, Lighting, Décor",10 AM - 10 PM,33000,"Wedding, Birthday"
Sapphire Diamond Resort,Dehradun,700-2500,Outdoor,"Stage, Catering, Valet Parking",6 PM - 12 AM,44000,"Wedding, Festival"
Crystal Diamond Club,Guwahati,150-700,Indoor,"Mic, Projector, Sound System",9 AM - 10 PM,25000,"Conference, Meeting"
